Nom Ville,MAJ,Code Postal,Code INSEE,Latitude,Longitude,Eloignement,Departement
Saint-Sulpice-Laurière,SAINT SULPICE LAURIERE,87370,87181,46.05,1.466667,1.16,51
Saint-Sulpice-le-Dunois,SAINT SULPICE LE DUNOIS,23800,23244,46.3,1.733333,1.73,50
Saint-Sulpice-le-Guérétois,SAINT SULPICE LE GUERETOIS,23000,23245,46.2,1.833333,0.91,50
Saint-Sulpice-les-Bois,SAINT SULPICE LES BOIS,19250,19244,45.616667,2.15,2.04,49
Saint-Sulpice-les-Champs,SAINT SULPICE LES CHAMPS,23480,23246,46.15,2.016667,2.27,50
Saint-Sulpice-les-Feuilles,SAINT SULPICE LES FEUILLES,87160,87182,46.316667,1.366667,2.24,51
Saint-Sulpice-le-Verdon,SAINT SULPICE LE VERDON,85260,85272,46.9,-1.416667,1.5,75
Saint-Sulpice-sur-Lèze,SAINT SULPICE SUR LEZE,31410,31517,43.333333,1.333333,1.74,58
Saint-Supplet,SAINT SUPPLET,54620,54489,49.383333,5.733333,2.23,52
Saint-Sylvain,SAINT SYLVAIN,14190,14659,49.05,-0.216667,0.65,66
Saint-Sylvain,SAINT SYLVAIN,19380,19245,45.183333,1.883333,0.91,49
Saint-Sylvain,SAINT SYLVAIN,76460,76651,49.85,0.666667,1.68,70
Saint-Sylvain-d'Anjou,SAINT SYLVAIN D ANJOU,49480,49323,47.516667,-0.466667,0.7,72
Saint-Sylvestre,SAINT SYLVESTRE,87240,87183,46,1.383333,1,51
Saint-Sylvestre-Cappel,SAINT SYLVESTRE CAPPEL,59114,59546,50.766667,2.55,1.76,64
Saint-Sylvestre-Pragoulin,SAINT SYLVESTRE PRAGOULIN,63310,63400,46.05,3.383333,1.8,11
Saint-Sylvestre-sur-Lot,SAINT SYLVESTRE SUR LOT,47140,47280,44.4,0.816667,1.51,6
Saint-Symphorien,SAINT SYMPHORIEN,04200,04196,44.183333,6.05,1.18,83
Saint-Symphorien,SAINT SYMPHORIEN,18190,18236,46.816667,2.316667,1.03,20
Saint-Symphorien,SAINT SYMPHORIEN,27500,27606,49.316667,0.483333,1.71,69
Saint-Symphorien,SAINT SYMPHORIEN,33113,33484,44.433333,-0.483333,1.91,4
Saint-Symphorien,SAINT SYMPHORIEN,35630,35317,48.283333,-1.833333,0.8,18
Saint-Symphorien,SAINT SYMPHORIEN,48600,48184,44.833333,3.616667,1.63,47
Saint-Symphorien,SAINT SYMPHORIEN,79270,79298,46.266667,-0.5,1.51,81
Saint-Symphorien-d'Ancelles,SAINT SYMPHORIEN D ANCELLES,71570,71481,46.2,4.766667,2.31,14
Saint-Symphorien-de-Lay,SAINT SYMPHORIEN DE LAY,42470,42289,45.95,4.216667,1.1,93
Saint-Symphorien-de-Mahun,SAINT SYMPHORIEN DE MAHUN,07290,07299,45.166667,4.55,2.07,90
